Id,District_Name,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
945,MAHBUBNAGAR,Tobacco,2013-14,Kharif,1778,Hectare,2226,Tonnes,1.251968504
946,MAHBUBNAGAR,Tobacco,2013-14,Rabi,879,Hectare,1101,Tonnes,1.252559727
947,MAHBUBNAGAR,Tobacco,2014-15,Kharif,1178,Hectare,2305,Tonnes,1.956706282
948,MAHBUBNAGAR,Tobacco,2014-15,Rabi,1154,Hectare,2258,Tonnes,1.956672444
949,MAHBUBNAGAR,Tobacco,2015-16,Kharif,1187,Hectare,2816,Tonnes,2.372367313
950,MAHBUBNAGAR,Tobacco,2015-16,Rabi,1177,Hectare,2792,Tonnes,2.37213254
951,MEDAK,Tobacco,2013-14,Rabi,37,Hectare,46,Tonnes,1.243243243
952,MEDAK,Tobacco,2014-15,Rabi,22,Hectare,43,Tonnes,1.954545455
953,MEDAK,Tobacco,2015-16,Rabi,23,Hectare,105,Tonnes,4.565217391
954,NALGONDA,Tobacco,2013-14,Kharif,30,Hectare,130,Tonnes,4.333333333
955,NALGONDA,Tobacco,2013-14,Rabi,51,Hectare,221,Tonnes,4.333333333
956,NALGONDA,Tobacco,2014-15,Kharif,26,Hectare,101,Tonnes,3.884615385
957,NALGONDA,Tobacco,2014-15,Rabi,75,Hectare,291,Tonnes,3.88
958,NALGONDA,Tobacco,2015-16,Kharif,12,Hectare,55,Tonnes,4.583333333
959,NALGONDA,Tobacco,2015-16,Rabi,11,Hectare,50,Tonnes,4.545454545
960,NIZAMABAD,Tobacco,2013-14,Rabi,878,Hectare,3813,Tonnes,4.342824601
961,NIZAMABAD,Tobacco,2014-15,Rabi,945,Hectare,3664,Tonnes,3.877248677
962,NIZAMABAD,Tobacco,2015-16,Kharif,250,Hectare,596,Tonnes,2.384
963,NIZAMABAD,Tobacco,2015-16,Rabi,637,Hectare,1511,Tonnes,2.372056515
964,WARANGAL,Tobacco,2013-14,Kharif,410,Hectare,1533,Tonnes,3.73902439
965,WARANGAL,Tobacco,2014-15,Kharif,330,Hectare,1060,Tonnes,3.212121212
966,WARANGAL,Tobacco,2014-15,Rabi,70,Hectare,137,Tonnes,1.957142857
967,WARANGAL,Tobacco,2015-16,Kharif,56,Hectare,203,Tonnes,3.625
968,WARANGAL,Tobacco,2015-16,Rabi,125,Hectare,480,Tonnes,3.84
969,ADILABAD,Turmeric,2013-14,Kharif,6083,Hectare,40884,Tonnes,6.72102581
970,ADILABAD,Turmeric,2014-15,Kharif,7089,Hectare,45745,Tonnes,6.452955283
971,ADILABAD,Turmeric,2015-16,Kharif,7719,Hectare,41474,Tonnes,5.372975774
972,KARIMNAGAR,Turmeric,2013-14,Kharif,14487,Hectare,91312,Tonnes,6.303030303
973,KARIMNAGAR,Turmeric,2014-15,Kharif,10363,Hectare,64986,Tonnes,6.270964007
974,KARIMNAGAR,Turmeric,2015-16,Kharif,10600,Hectare,53975,Tonnes,5.091981132
975,KHAMMAM,Turmeric,2013-14,Kharif,252,Hectare,1280,Tonnes,5.079365079
976,KHAMMAM,Turmeric,2014-15,Kharif,172,Hectare,856,Tonnes,4.976744186
977,KHAMMAM,Turmeric,2015-16,Kharif,184,Hectare,797,Tonnes,4.331521739
978,MAHBUBNAGAR,Turmeric,2013-14,Kharif,25,Hectare,127,Tonnes,5.08
979,MAHBUBNAGAR,Turmeric,2014-15,Kharif,36,Hectare,179,Tonnes,4.972222222
980,MAHBUBNAGAR,Turmeric,2015-16,Kharif,8,Hectare,35,Tonnes,4.375
981,MEDAK,Turmeric,2013-14,Kharif,1385,Hectare,3974,Tonnes,2.869314079
982,MEDAK,Turmeric,2014-15,Kharif,1566,Hectare,3715,Tonnes,2.372286079
983,MEDAK,Turmeric,2015-16,Kharif,1179,Hectare,5109,Tonnes,4.333333333
984,NALGONDA,Turmeric,2013-14,Kharif,10,Hectare,51,Tonnes,5.1
985,NALGONDA,Turmeric,2014-15,Kharif,1,Hectare,5,Tonnes,5
986,NALGONDA,Turmeric,2015-16,Kharif,2,Hectare,9,Tonnes,4.5
987,NIZAMABAD,Turmeric,2013-14,Kharif,13250,Hectare,55359,Tonnes,4.178037736
988,NIZAMABAD,Turmeric,2014-15,Kharif,12458,Hectare,47004,Tonnes,3.772997271
989,NIZAMABAD,Turmeric,2015-16,Kharif,12242,Hectare,33825,Tonnes,2.763028917
990,RANGAREDDI,Turmeric,2013-14,Kharif,3740,Hectare,12028,Tonnes,3.216042781
991,RANGAREDDI,Turmeric,2014-15,Kharif,3303,Hectare,11336,Tonnes,3.432031487
